N,beta,start_id,operator_energy,energy_functional,C_NN,C_DM_z,M_beta,S_VN_site1,S_VN_avg
4,0.7000000000000001,3,-1.3999992224874096,-1.3999984679105688,-0.4999978790931557,-2.3306125370959284e-07,0.0011214402907353772,0.9999963712773665,0.9999963712486599
4,0.75,0,-1.4999995650612663,-1.499999426673536,-0.49999948271276773,-1.6368530876796356e-08,0.0005260946421983897,0.999999201426116,0.9999992013943606
4,0.75,1,-1.4999999007503948,-1.4999997829831522,-0.4999996432424267,-4.814196345444364e-08,0.0004853189634124325,0.9999993203892207,0.9999993203909939
4,0.75,2,-1.499999920989943,-1.4999997776002438,-0.4999995849670549,-3.1618642243134466e-08,0.0005355178890367723,0.9999991725505327,0.9999991725293779
4,0.75,3,-1.4999997239850706,-1.4999996418913057,-0.4999996766060884,-6.236114876406577e-08,0.000405200619005257,0.9999995262546014,0.999999526254844
4,0.8,0,-1.5999999810562482,-1.5999999793780058,-0.49999998812422725,-3.5567121690888967e-09,6.477350062117167e-05,0.999999987894266,0.9999999878940389
4,0.8,1,-1.5999999626349954,-1.5999999597426309,-0.49999997754713343,-8.688316245049159e-09,8.503476585608058e-05,0.9999999791362195,0.9999999791359998
4,0.8,2,-1.5999999033456944,-1.5999998256014523,-0.4999997210855017,-2.8796351681242386e-08,0.00044086348215965286,0.9999994391867288,0.9999994391937512
4,0.8,3,-1.5999999565193563,-1.599999950020871,-0.49999996487730547,-6.136134209637934e-09,0.00012746063565565938,0.9999999531234407,0.9999999531233357
4,0.8500000000000001,0,-1.6999999985061582,-1.6999999984405558,-0.4999999993033039,-3.3793460001229036e-13,1.478761784375983e-05,0.9999999993690593,0.9999999993690413
4,0.8500000000000001,1,-1.699999990305024,-1.6999999869751685,-0.4999999836854666,-2.024069418093032e-09,0.00010535424819446115,0.9999999679738769,0.9999999679735616
4,0.8500000000000001,2,-1.6999999951421159,-1.6999999938643733,-0.49999999338058854,-8.993328443520618e-10,6.526210270238383e-05,0.9999999877107365,0.9999999877107137
4,0.8500000000000001,3,-1.6999999978854397,-1.6999999975007571,-0.4999999977904447,-3.953403484516334e-10,3.580885392371936e-05,0.9999999963000766,0.9999999963001391
4,0.9,0,-1.79999999907371,-1.7999999989857813,-0.4999999992260495,-1.407786665049374e-10,2.0967660065061176e-05,0.9999999987314566,0.999999998731459
4,0.9,1,-1.7999999996687908,-1.7999999996026916,-0.4999999995273113,-6.734927201347924e-11,1.8179511860494738e-05,0.9999999990464024,0.9999999990463939
4,0.9,2,-1.7999999826551998,-1.7999999804851514,-0.49999998235775245,-3.842121523748931e-09,0.00010416448965901975,0.9999999686928206,0.9999999686928223
4,0.9,3,-1.7999999966675948,-1.7999999962714974,-0.4999999967607207,-5.653550821980321e-10,4.450265232742209e-05,0.99999999428553,0.9999999942855251
4,0.9500000000000001,0,-1.8999999992828926,-1.8999999992314738,-0.49999999924325633,-1.339004532497133e-10,2.2675725417209333e-05,0.9999999985163679,0.9999999985163655
4,0.9500000000000001,1,-1.8999999998154316,-1.8999999998099535,-0.4999999998898919,-1.93789775950191e-11,7.401249986861126e-06,0.999999999841944,0.9999999998419427
4,0.9500000000000001,2,-1.8999999997866999,-1.8999999997827597,-0.4999999998963315,-3.029792909678109e-11,6.277208927921303e-06,0.9999999998863066,0.999999999886306
4,0.9500000000000001,3,-1.899999999961986,-1.899999999961361,-0.4999999999825456,-4.349071450723093e-12,2.5003750189036593e-06,0.9999999999819611,0.9999999999819609
4,1.0,0,-1.9999999999798754,-1.9999999999798754,-0.4999999999916593,-2.968509119389953e-12,1.647969932439247e-06,0.9999999999921638,0.9999999999921638
4,1.0,1,-1.9999999999668086,-1.9999999999668086,-0.4999999999877122,-5.3742366459830215e-12,1.707376132108199e-06,0.9999999999915887,0.9999999999915887
4,1.0,2,-1.9999999999874403,-1.9999999999874403,-0.4999999999963175,-2.253249670339853e-12,3.03132274379908e-07,0.9999999999997349,0.9999999999997349
4,1.0,3,-1.9999999998344464,-1.9999999998344464,-0.4999999999399518,-2.740737975536167e-11,3.6302139363078424e-06,0.9999999999619744,0.9999999999619751
5,0.0,0,-1.158194618577006,-0.5790973092885031,-1.0878520306789597e-13,-3.589906150125444e-14,0.5,-0.0,0.0
5,0.0,1,-1.1582024638424608,-0.5791012319212304,2.0057844274390392e-13,6.404876629062528e-14,0.5,-0.0,0.0
5,0.0,2,-1.1581955775436752,-0.5790977887718378,2.0048407378681076e-13,6.100120408802923e-14,0.5000000000000001,-0.0,0.0
5,0.0,3,-1.158155209989683,-0.5790776049948415,-1.0474732192733426e-12,-3.375077994860476e-13,0.5,-0.0,0.0
5,0.05,0,-1.1583309626529317,-0.6111669500455335,-0.024022303247533523,-0.008022995456836846,0.49864983762871795,0.014786258803157985,0.014817181074915725
5,0.05,1,-1.1583712125398122,-0.6111878794127078,-0.024020576889522766,-0.008023129417914738,0.49865005148767916,0.014823901379101173,0.014815145502387115
5,0.05,2,-1.1582834635697705,-0.6111420284320824,-0.024022570612936455,-0.008022307270172706,0.4986497759720355,0.014783339996497419,0.014817766809854933
5,0.05,3,-1.158369235046866,-0.6111868052872752,-0.024020296423914688,-0.008023018413921845,0.4986500803107231,0.014819972456928265,0.014814870718846901
5,0.1,0,-1.1594982215819634,-0.6494801844706631,-0.04889856865690302,-0.016755214506227134,0.49461631508811427,0.04834339939435982,0.04832392102360451
5,0.1,1,-1.1594958511416014,-0.6494775929091193,-0.04889321285608608,-0.01675337530264804,0.4946174283769321,0.04836931240868257,0.04831554005247477
